player_url;short_name;long_name;value_eur;club_name;league_name;club_position;club_jersey_number;club_loaned_from;club_joined;club_contract_valid_until;nationality_name;player_face_url;club_logo_url;club_flag_url;nation_logo_url;nation_flag_url
https://sofifa.com/player/230046/luka-zahovic/220002;L. Zahović;Luka Zahović;1100000.0;Pogoń Szczecin;Polish T-Mobile Ekstraklasa;SUB;10;;01.10.2020;2024;Slovenia;https://cdn.sofifa.net/players/230/046/22_120.png;https://cdn.sofifa.net/teams/110746/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/si.png
https://sofifa.com/player/230150/luis-miguel-vieira-babo-machado/220002;Luís Machado;Luís Miguel Vieira Babo Machado;850000.0;Radomiak Radom;Polish T-Mobile Ekstraklasa;SUB;20;;01.07.2021;2024;Portugal;https://cdn.sofifa.net/players/230/150/22_120.png;https://cdn.sofifa.net/teams/111088/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pt.png
https://sofifa.com/player/233413/diogo-sousa-verdasca/220002;Verdasca;Diogo Sousa Verdasca;1200000.0;Śląsk Wrocław;Polish T-Mobile Ekstraklasa;LCB;2;;01.07.2021;2024;Portugal;https://cdn.sofifa.net/players/233/413/22_120.png;https://cdn.sofifa.net/teams/111092/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pt.png
https://sofifa.com/player/234200/aschraf-el-mahdioui/220002;A. El Mahdioui;Aschraf El Mahdioui;1100000.0;Wisła Kraków;Polish T-Mobile Ekstraklasa;CDM;8;;01.07.2021;2024;Netherlands;https://cdn.sofifa.net/players/234/200/22_120.png;https://cdn.sofifa.net/teams/1873/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/nl.png
https://sofifa.com/player/235101/tomasz-makowski/220002;T. Makowski;Tomasz Makowski;1300000.0;Lechia Gdańsk;Polish T-Mobile Ekstraklasa;CDM;36;;18.07.2018;2022;Poland;https://cdn.sofifa.net/players/235/101/22_120.png;https://cdn.sofifa.net/teams/111091/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pl.png
https://sofifa.com/player/237591/adi-mehremic/220002;A. Mehremić;Adi Mehremić;800000.0;Wisła Kraków;Polish T-Mobile Ekstraklasa;SUB;3;;05.08.2020;2023;Bosnia and Herzegovina;https://cdn.sofifa.net/players/237/591/22_120.png;https://cdn.sofifa.net/teams/1873/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/ba.png
https://sofifa.com/player/237594/lorenco-simic/220002;L. Šimić;Lorenco Šimić;925000.0;Zagłębie Lubin;Polish T-Mobile Ekstraklasa;RCB;5;;14.08.2020;2022;Croatia;https://cdn.sofifa.net/players/237/594/22_120.png;https://cdn.sofifa.net/teams/110749/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/hr.png
https://sofifa.com/player/237826/ilya-zhigulev/220002;I. Zhigulev;Ilya Zhigulev;1200000.0;Zagłębie Lubin;Polish T-Mobile Ekstraklasa;SUB;20;;20.08.2021;2023;Russia;https://cdn.sofifa.net/players/237/826/22_120.png;https://cdn.sofifa.net/teams/110749/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/ru.png
https://sofifa.com/player/238895/conrado-buchanelli-holz/220002;Conrado;Conrado Buchanelli Holz;1100000.0;Lechia Gdańsk;Polish T-Mobile Ekstraklasa;LB;20;;01.02.2020;2024;Brazil;https://cdn.sofifa.net/players/238/895/22_120.png;https://cdn.sofifa.net/teams/111091/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/br.png
https://sofifa.com/player/239179/zoran-arsenic/220002;Z. Arsenić;Zoran Arsenić;900000.0;Raków Częstochowa;Polish T-Mobile Ekstraklasa;RES;24;;28.05.2021;2026;Croatia;https://cdn.sofifa.net/players/239/179/22_120.png;https://cdn.sofifa.net/teams/114326/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/hr.png
https://sofifa.com/player/239762/michal-siplak/220002;M. Sipľak;Michal Sipľak;975000.0;Cracovia;Polish T-Mobile Ekstraklasa;LM;3;;07.07.2017;2023;Slovakia;https://cdn.sofifa.net/players/239/762/22_120.png;https://cdn.sofifa.net/teams/110747/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/sk.png
https://sofifa.com/player/239930/damian-rasak/220002;D. Rasak;Damian Rasak;1000000.0;Wisła Płock;Polish T-Mobile Ekstraklasa;LCM;6;;01.07.2017;2023;Poland;https://cdn.sofifa.net/players/239/930/22_120.png;https://cdn.sofifa.net/teams/1569/60.png;https://cdn.sofifa.net/flags/pl.png;;https://cdn.sofifa.net/flags/pl.png
